Mod:Item:MetaData, Localized Name
appliedenergistics2:item.ItemCrystalSeed:600, Nether Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:1200, Fluix Seed
appliedenergistics2:item.ItemCrystalSeed:0, Certus Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:600, Nether Quartz Seed
appliedenergistics2:item.ItemCrystalSeed:1200, Fluix Seed
appliedenergistics2:item.ItemEncodedPattern, Encoded Pattern
appliedenergistics2:item.ToolColorApplicator, Color Applicator
appliedenergistics2:item.ItemPaintBall:0, Paint Ball - White
appliedenergistics2:item.ItemPaintBall:1, Paint Ball - Orange
appliedenergistics2:item.ItemPaintBall:2, Paint Ball - Magenta
appliedenergistics2:item.ItemPaintBall:3, Paint Ball - Light Blue
appliedenergistics2:item.ItemPaintBall:4, Paint Ball - Yellow
appliedenergistics2:item.ItemPaintBall:5, Paint Ball - Lime
appliedenergistics2:item.ItemPaintBall:6, Paint Ball - Pink
appliedenergistics2:item.ItemPaintBall:7, Paint Ball - Gray
appliedenergistics2:item.ItemPaintBall:8, Paint Ball - Light Gray
appliedenergistics2:item.ItemPaintBall:9, Paint Ball - Cyan
appliedenergistics2:item.ItemPaintBall:10, Paint Ball - Purple
appliedenergistics2:item.ItemPaintBall:11, Paint Ball - Blue
appliedenergistics2:item.ItemPaintBall:12, Paint Ball - Brown
appliedenergistics2:item.ItemPaintBall:13, Paint Ball - Green
appliedenergistics2:item.ItemPaintBall:14, Paint Ball - Red
appliedenergistics2:item.ItemPaintBall:15, Paint Ball - Black
appliedenergistics2:item.ItemPaintBall:20, Paint Ball - Lumen White
appliedenergistics2:item.ItemPaintBall:21, Paint Ball - Lumen Orange
appliedenergistics2:item.ItemPaintBall:22, Paint Ball - Lumen Magenta
appliedenergistics2:item.ItemPaintBall:23, Paint Ball - Lumen Light Blue
appliedenergistics2:item.ItemPaintBall:24, Paint Ball - Lumen Yellow
appliedenergistics2:item.ItemPaintBall:25, Paint Ball - Lumen Lime
appliedenergistics2:item.ItemPaintBall:26, Paint Ball - Lumen Pink
appliedenergistics2:item.ItemPaintBall:27, Paint Ball - Lumen Gray
appliedenergistics2:item.ItemPaintBall:28, Paint Ball - Lumen Light Gray
appliedenergistics2:item.ItemPaintBall:29, Paint Ball - Lumen Cyan
appliedenergistics2:item.ItemPaintBall:30, Paint Ball - Lumen Purple
appliedenergistics2:item.ItemPaintBall:31, Paint Ball - Lumen Blue
appliedenergistics2:item.ItemPaintBall:32, Paint Ball - Lumen Brown
appliedenergistics2:item.ItemPaintBall:33, Paint Ball - Lumen Green
appliedenergistics2:item.ItemPaintBall:34, Paint Ball - Lumen Red
appliedenergistics2:item.ItemPaintBall:35, Paint Ball - Lumen Black
appliedenergistics2:item.ItemMultiMaterial:28, Advanced Card
appliedenergistics2:item.ItemMultiMaterial:44, Annihilation Core
appliedenergistics2:item.ItemMultiMaterial:25, Basic Card
appliedenergistics2:item.ItemMultiMaterial:52, Blank Pattern
appliedenergistics2:item.ItemMultiMaterial:23, Calculation Processor
appliedenergistics2:item.ItemMultiMaterial:13, Inscriber Calculation Press
appliedenergistics2:item.ItemMultiMaterial:16, Printed Calculation Circuit
appliedenergistics2:item.ItemMultiMaterial:27, Capacity Card
appliedenergistics2:item.ItemMultiMaterial:53, Crafting Card
appliedenergistics2:item.ItemMultiMaterial:29, Fuzzy Card
appliedenergistics2:item.ItemMultiMaterial:31, Inverter Card
appliedenergistics2:item.ItemMultiMaterial:26, Redstone Card
appliedenergistics2:item.ItemMultiMaterial:30, Acceleration Card
appliedenergistics2:item.ItemMultiMaterial:34, 128³ Spatial Component
appliedenergistics2:item.ItemMultiMaterial:33, 16³ Spatial Component
appliedenergistics2:item.ItemMultiMaterial:37, 16k ME Storage Component
appliedenergistics2:item.ItemMultiMaterial:35, 1k ME Storage Component
appliedenergistics2:item.ItemMultiMaterial:32, 2³ Spatial Component
appliedenergistics2:item.ItemMultiMaterial:36, 4k ME Storage Component
appliedenergistics2:item.ItemMultiMaterial:38, 64k ME Storage Component
appliedenergistics2:item.ItemMultiMaterial:0, Certus Quartz Crystal
appliedenergistics2:item.ItemMultiMaterial:1, Charged Certus Quartz Crystal
appliedenergistics2:item.ItemMultiMaterial:2, Certus Quartz Dust
appliedenergistics2:item.ItemMultiMaterial:39, ME Storage Housing
appliedenergistics2:item.ItemMultiMaterial:46, Ender Dust
appliedenergistics2:item.ItemMultiMaterial:24, Engineering Processor
appliedenergistics2:item.ItemMultiMaterial:14, Inscriber Engineering Press
appliedenergistics2:item.ItemMultiMaterial:17, Printed Engineering Circuit
appliedenergistics2:item.ItemMultiMaterial:4, Flour
appliedenergistics2:item.ItemMultiMaterial:7, Fluix Crystal
appliedenergistics2:item.ItemMultiMaterial:8, Fluix Dust
appliedenergistics2:item.ItemMultiMaterial:9, Fluix Pearl
appliedenergistics2:item.ItemMultiMaterial:43, Formation Core
appliedenergistics2:item.ItemMultiMaterial:22, Logic Processor
appliedenergistics2:item.ItemMultiMaterial:15, Inscriber Logic Press
appliedenergistics2:item.ItemMultiMaterial:18, Printed Logic Circuit
appliedenergistics2:item.ItemMultiMaterial:6, Matter Ball
appliedenergistics2:item.ItemMultiMaterial:21, Inscriber Name Press
appliedenergistics2:item.ItemMultiMaterial:3, Nether Quartz Dust
appliedenergistics2:item.ItemMultiMaterial:10, Pure Certus Quartz Crystal
appliedenergistics2:item.ItemMultiMaterial:12, Pure Fluix Crystal
appliedenergistics2:item.ItemMultiMaterial:11, Pure Nether Quartz Crystal
appliedenergistics2:item.ItemMultiMaterial:48, Quantum Entangled Singularity
appliedenergistics2:item.ItemMultiMaterial:5, Silicon
appliedenergistics2:item.ItemMultiMaterial:19, Inscriber Silicon Press
appliedenergistics2:item.ItemMultiMaterial:20, Printed Silicon
appliedenergistics2:item.ItemMultiMaterial:47, Singularity
appliedenergistics2:item.ItemMultiMaterial:45, Sky Stone Dust
appliedenergistics2:item.ItemMultiMaterial:41, Wireless Receiver
appliedenergistics2:item.ItemMultiMaterial:42, Wireless Booster
appliedenergistics2:item.ItemMultiMaterial:40, Wooden Gear
appliedenergistics2:item.ItemMultiPart:300, ME Annihilation Plane
appliedenergistics2:item.ItemMultiPart:120, Cable Anchor
appliedenergistics2:item.ItemMultiPart:20, ME Covered Cable - White
appliedenergistics2:item.ItemMultiPart:21, ME Covered Cable - Orange
appliedenergistics2:item.ItemMultiPart:22, ME Covered Cable - Magenta
appliedenergistics2:item.ItemMultiPart:23, ME Covered Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:24, ME Covered Cable - Yellow
appliedenergistics2:item.ItemMultiPart:25, ME Covered Cable - Lime
appliedenergistics2:item.ItemMultiPart:26, ME Covered Cable - Pink
appliedenergistics2:item.ItemMultiPart:27, ME Covered Cable - Gray
appliedenergistics2:item.ItemMultiPart:28, ME Covered Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:29, ME Covered Cable - Cyan
appliedenergistics2:item.ItemMultiPart:30, ME Covered Cable - Purple
appliedenergistics2:item.ItemMultiPart:31, ME Covered Cable - Blue
appliedenergistics2:item.ItemMultiPart:32, ME Covered Cable - Brown
appliedenergistics2:item.ItemMultiPart:33, ME Covered Cable - Green
appliedenergistics2:item.ItemMultiPart:34, ME Covered Cable - Red
appliedenergistics2:item.ItemMultiPart:35, ME Covered Cable - Black
appliedenergistics2:item.ItemMultiPart:36, ME Covered Cable - Fluix
appliedenergistics2:item.ItemMultiPart:60, ME Dense Cable - White
appliedenergistics2:item.ItemMultiPart:61, ME Dense Cable - Orange
appliedenergistics2:item.ItemMultiPart:62, ME Dense Cable - Magenta
appliedenergistics2:item.ItemMultiPart:63, ME Dense Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:64, ME Dense Cable - Yellow
appliedenergistics2:item.ItemMultiPart:65, ME Dense Cable - Lime
appliedenergistics2:item.ItemMultiPart:66, ME Dense Cable - Pink
appliedenergistics2:item.ItemMultiPart:67, ME Dense Cable - Gray
appliedenergistics2:item.ItemMultiPart:68, ME Dense Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:69, ME Dense Cable - Cyan
appliedenergistics2:item.ItemMultiPart:70, ME Dense Cable - Purple
appliedenergistics2:item.ItemMultiPart:71, ME Dense Cable - Blue
appliedenergistics2:item.ItemMultiPart:72, ME Dense Cable - Brown
appliedenergistics2:item.ItemMultiPart:73, ME Dense Cable - Green
appliedenergistics2:item.ItemMultiPart:74, ME Dense Cable - Red
appliedenergistics2:item.ItemMultiPart:75, ME Dense Cable - Black
appliedenergistics2:item.ItemMultiPart:76, ME Dense Cable - Fluix
appliedenergistics2:item.ItemMultiPart:0, ME Glass Cable - White
appliedenergistics2:item.ItemMultiPart:1, ME Glass Cable - Orange
appliedenergistics2:item.ItemMultiPart:2, ME Glass Cable - Magenta
appliedenergistics2:item.ItemMultiPart:3, ME Glass Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:4, ME Glass Cable - Yellow
appliedenergistics2:item.ItemMultiPart:5, ME Glass Cable - Lime
appliedenergistics2:item.ItemMultiPart:6, ME Glass Cable - Pink
appliedenergistics2:item.ItemMultiPart:7, ME Glass Cable - Gray
appliedenergistics2:item.ItemMultiPart:8, ME Glass Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:9, ME Glass Cable - Cyan
appliedenergistics2:item.ItemMultiPart:10, ME Glass Cable - Purple
appliedenergistics2:item.ItemMultiPart:11, ME Glass Cable - Blue
appliedenergistics2:item.ItemMultiPart:12, ME Glass Cable - Brown
appliedenergistics2:item.ItemMultiPart:13, ME Glass Cable - Green
appliedenergistics2:item.ItemMultiPart:14, ME Glass Cable - Red
appliedenergistics2:item.ItemMultiPart:15, ME Glass Cable - Black
appliedenergistics2:item.ItemMultiPart:16, ME Glass Cable - Fluix
appliedenergistics2:item.ItemMultiPart:40, ME Smart Cable - White
appliedenergistics2:item.ItemMultiPart:41, ME Smart Cable - Orange
appliedenergistics2:item.ItemMultiPart:42, ME Smart Cable - Magenta
appliedenergistics2:item.ItemMultiPart:43, ME Smart Cable - Light Blue
appliedenergistics2:item.ItemMultiPart:44, ME Smart Cable - Yellow
appliedenergistics2:item.ItemMultiPart:45, ME Smart Cable - Lime
appliedenergistics2:item.ItemMultiPart:46, ME Smart Cable - Pink
appliedenergistics2:item.ItemMultiPart:47, ME Smart Cable - Gray
appliedenergistics2:item.ItemMultiPart:48, ME Smart Cable - Light Gray
appliedenergistics2:item.ItemMultiPart:49, ME Smart Cable - Cyan
appliedenergistics2:item.ItemMultiPart:50, ME Smart Cable - Purple
appliedenergistics2:item.ItemMultiPart:51, ME Smart Cable - Blue
appliedenergistics2:item.ItemMultiPart:52, ME Smart Cable - Brown
appliedenergistics2:item.ItemMultiPart:53, ME Smart Cable - Green
appliedenergistics2:item.ItemMultiPart:54, ME Smart Cable - Red
appliedenergistics2:item.ItemMultiPart:55, ME Smart Cable - Black
appliedenergistics2:item.ItemMultiPart:56, ME Smart Cable - Fluix
appliedenergistics2:item.ItemMultiPart:420, ME Conversion Monitor
appliedenergistics2:item.ItemMultiPart:360, ME Crafting Terminal
appliedenergistics2:item.ItemMultiPart:200, Dark Illuminated Panel
appliedenergistics2:item.ItemMultiPart:260, ME Export Bus
appliedenergistics2:item.ItemMultiPart:320, ME Formation Plane
appliedenergistics2:item.ItemMultiPart:301, ME Identity Annihilation Plane
appliedenergistics2:item.ItemMultiPart:240, ME Import Bus
appliedenergistics2:item.ItemMultiPart:440, ME Interface
appliedenergistics2:item.ItemMultiPart:480, ME Interface Terminal
appliedenergistics2:item.ItemMultiPart:100, ME Inverted Toggle Bus
appliedenergistics2:item.ItemMultiPart:280, ME Level Emitter
appliedenergistics2:item.ItemMultiPart:160, Bright Illuminated Panel
appliedenergistics2:item.ItemMultiPart:462, P2P Tunnel - Item
appliedenergistics2:item.ItemMultiPart:467, P2P Tunnel - Light
appliedenergistics2:item.ItemMultiPart:463, P2P Tunnel - Fluid
appliedenergistics2:item.ItemMultiPart:460, P2P Tunnel - ME
appliedenergistics2:item.ItemMultiPart:466, P2P Tunnel - RF
appliedenergistics2:item.ItemMultiPart:461, P2P Tunnel - Redstone
appliedenergistics2:item.ItemMultiPart:340, ME Pattern Terminal
appliedenergistics2:item.ItemMultiPart:140, Quartz Fiber
appliedenergistics2:item.ItemMultiPart:180, Illuminated Panel
appliedenergistics2:item.ItemMultiPart:220, ME Storage Bus
appliedenergistics2:item.ItemMultiPart:400, ME Storage Monitor
appliedenergistics2:item.ItemMultiPart:380, ME Terminal
appliedenergistics2:item.ItemMultiPart:80, ME Toggle Bus
Baubles:Ring:0, Miner's Ring
baublelicious:ItemAmulet, Amulet
baublelicious:ItemRing, Ring
baublelicious:ItemBelt, Belt
baublelicious:ItemBeltStepAssist, Belt of Hiking
baublelicious:ItemBeltWaterWalking, Belt of Water Walking
baublelicious:ItemNecklaceDiving, Amulet of Diving
baublelicious:ItemFlyingRing, Ring of Flight
baublelicious:ItemSpeedBelt, Speed Belt
baublelicious:ItemFallingBelt, Falling Belt
baublelicious:ItemAmuletGrowth, Amulet of Growth
baublelicious:ItemsAmuletNightvision, Amulet of Nightvision
baublelicious:ItemAmuletFieryCore, Amulet of the Fiery Core
baublelicious:ItemMagicCore:0, Magic Core
baublelicious:ItemMagicCore:1, Magic Core
baublelicious:ItemMagicCore:2, Magic Core
baublelicious:bindingGem, Binding Gem
baublelicious:ItemMagnetRing, Magnet Ring
baublelicious:entangledAmulet, §3Entangled Amulet
baublelicious:entangledRing, §3Entangled Ring
baublelicious:entangledBelt, §3Entangled Belt
BiomesOPlenty:food:0, Berry
BiomesOPlenty:food:1, Shroom Powder
BiomesOPlenty:food:2, Wild Carrots
BiomesOPlenty:food:3, Peach
BiomesOPlenty:food:4, Fruit Salad
BiomesOPlenty:food:5, Veggie Salad
BiomesOPlenty:food:6, Shroom Salad
BiomesOPlenty:food:8, Persimmon
BiomesOPlenty:food:9, Filled Honeycomb
BiomesOPlenty:food:10, Ambrosia
BiomesOPlenty:food:11, Turnip
BiomesOPlenty:food:12, Pear
BiomesOPlenty:food:13, Bowl of Rice
BiomesOPlenty:turnipSeeds, Turnip Seeds
BiomesOPlenty:misc:0, Mud Brick
BiomesOPlenty:misc:1, Pile of Ashes
BiomesOPlenty:misc:2, Empty Honeycomb
BiomesOPlenty:misc:3, Chunk of Flesh
BiomesOPlenty:misc:4, Celestial Crystal Shard
BiomesOPlenty:misc:5, Blue Dye
BiomesOPlenty:misc:6, Brown Dye
BiomesOPlenty:misc:7, Green Dye
BiomesOPlenty:misc:8, White Dye
BiomesOPlenty:misc:9, Black Dye
BiomesOPlenty:misc:10, Ghastly Soul
BiomesOPlenty:misc:11, Pixie Dust
BiomesOPlenty:misc:12, Ichor
BiomesOPlenty:misc:13, Pinecone
BiomesOPlenty:gems:0, Ender Amethyst
BiomesOPlenty:gems:1, Ruby
BiomesOPlenty:gems:2, Peridot
BiomesOPlenty:gems:3, Topaz
BiomesOPlenty:gems:4, Tanzanite
BiomesOPlenty:gems:5, Malachite
BiomesOPlenty:gems:6, Sapphire
BiomesOPlenty:gems:7, Amber
BiomesOPlenty:mudball, Mud Ball
BiomesOPlenty:jarEmpty, Empty Jar
BiomesOPlenty:jarFilled:0, Honey Jar
BiomesOPlenty:jarFilled:1, Poison Extract Jar
BiomesOPlenty:jarFilled:2, Pixie Jar
BiomesOPlenty:dartBlower, Dart Blower
BiomesOPlenty:dart:0, Dart
BiomesOPlenty:dart:1, Poison Dart
BiomesOPlenty:ancientStaff:0, Ancient Staff
BiomesOPlenty:ancientStaff:1, Ancient Staff Handle
BiomesOPlenty:ancientStaff:2, Ancient Staff Pole
BiomesOPlenty:ancientStaff:3, Ancient Staff Topper
BiomesOPlenty:ancientStaff:4, Depleted Ancient Staff
BiomesOPlenty:enderporter, Enderporter
BiomesOPlenty:bopBucket, item.bopBucket.name
BiomesOPlenty:record_wanderer, Music Disc
BiomesOPlenty:record_corruption, Music Disc
BiomesOPlenty:biomeFinder, Biome Radar
BiomesOPlenty:biomeEssence, Biome Essence
BiomesOPlenty:swordMud, Muddy Sword
BiomesOPlenty:shovelMud, Muddy Shovel
BiomesOPlenty:pickaxeMud, Muddy Pickaxe
BiomesOPlenty:axeMud, Muddy Axe
BiomesOPlenty:hoeMud, Muddy Hoe
BiomesOPlenty:swordAmethyst, Amethyst Sword
BiomesOPlenty:shovelAmethyst, Amethyst Shovel
BiomesOPlenty:pickaxeAmethyst, Amethyst Pickaxe
BiomesOPlenty:axeAmethyst, Amethyst Axe
BiomesOPlenty:hoeAmethyst, Amethyst Hoe
BiomesOPlenty:scytheWood, Wooden Scythe
BiomesOPlenty:scytheStone, Stone Scythe
BiomesOPlenty:scytheIron, Iron Scythe
BiomesOPlenty:scytheGold, Golden Scythe
BiomesOPlenty:scytheDiamond, Diamond Scythe
BiomesOPlenty:scytheMud, Mud Scythe
BiomesOPlenty:scytheAmethyst, Amethyst Scythe
BiomesOPlenty:helmetMud, Muddy Helmet
BiomesOPlenty:chestplateMud, Muddy Chestplate
BiomesOPlenty:leggingsMud, Muddy Leggings
BiomesOPlenty:bootsMud, Muddy Boots
BiomesOPlenty:helmetAmethyst, Amethyst Helmet
BiomesOPlenty:chestplateAmethyst, Amethyst Chestplate
BiomesOPlenty:leggingsAmethyst, Amethyst Leggings
BiomesOPlenty:bootsAmethyst, Amethyst Boots
BiomesOPlenty:flowerBand:0, Dull Flower Band
BiomesOPlenty:flowerBand:1, Plain Flower Band
BiomesOPlenty:flowerBand:2, Lush Flower Band
BiomesOPlenty:flowerBand:3, Exotic Flower Band
BiomesOPlenty:flippers, Flippers
BiomesOPlenty:wadingBoots, Wading Boots
AWWayofTime:weakBloodOrb, Weak Blood Orb
AWWayofTime:apprenticeBloodOrb, Apprentice Blood Orb
AWWayofTime:magicianBloodOrb, Magician's Blood Orb
AWWayofTime:energyBlaster, Energy Blaster
AWWayofTime:energySword, Bound Blade
AWWayofTime:lavaCrystal, Lava Crystal
AWWayofTime:waterSigil, Water Sigil
AWWayofTime:lavaSigil, Lava Sigil
AWWayofTime:voidSigil, Void Sigil
AWWayofTime:blankSlate, Blank Slate
AWWayofTime:reinforcedSlate, Reinforced Slate
AWWayofTime:sacrificialKnife, Sacrificial Knife
AWWayofTime:daggerOfSacrifice, Dagger of Sacrifice
AWWayofTime:airSigil, Air Sigil
AWWayofTime:sigilOfTheFastMiner, Sigil of the Fast Miner
AWWayofTime:sigilOfElementalAffinity, Sigil of Elemental Affinity
AWWayofTime:sigilOfHaste, Sigil of Haste
AWWayofTime:sigilOfHolding, Sigil of Holding
AWWayofTime:divinationSigil, Divination Sigil
AWWayofTime:waterScribeTool, Elemental Inscription Tool: Water
AWWayofTime:fireScribeTool, Elemental Inscription Tool: Fire
AWWayofTime:earthScribeTool, Elemental Inscription Tool: Earth
AWWayofTime:airScribeTool, Elemental Inscription Tool: Air
AWWayofTime:activationCrystal:0, Weak Activation Crystal
AWWayofTime:activationCrystal:1, Awakened Activation Crystal
AWWayofTime:activationCrystal:2, Creative Activation Crystal
AWWayofTime:boundPickaxe, Bound Pickaxe
AWWayofTime:boundAxe, Bound Axe
AWWayofTime:boundShovel, Bound Shovel
AWWayofTime:boundHelmet, Bound Helmet
AWWayofTime:boundPlate, Bound Plate
AWWayofTime:boundLeggings, Bound Leggings
AWWayofTime:boundBoots, Bound Boots
AWWayofTime:weakBloodShard, Weak Blood Shard
AWWayofTime:growthSigil, Sigil of the Green Grove
AWWayofTime:blankSpell, Unbound Crystal
AWWayofTime:masterBloodOrb, Master Blood Orb
AWWayofTime:alchemyFlask, Potion Flask
AWWayofTime:standardBindingAgent, Standard Binding Agent
AWWayofTime:mundanePowerCatalyst, Mundane Power Catalyst
AWWayofTime:averagePowerCatalyst, Average Power Catalyst
AWWayofTime:greaterPowerCatalyst, Greater Power Catalyst
AWWayofTime:mundaneLengtheningCatalyst, Mundane Lengthening Catalyst
AWWayofTime:averageLengtheningCatalyst, Average Lengthening Catalyst
AWWayofTime:greaterLengtheningCatalyst, Greater Lengthening Catalyst
AWWayofTime:incendium, Incendium
AWWayofTime:magicales, Magicales
AWWayofTime:sanctus, Sanctus
AWWayofTime:aether, Aether
AWWayofTime:simpleCatalyst, Simple Catalyst
AWWayofTime:crepitous, Crepitous
AWWayofTime:crystallos, Crystallos
AWWayofTime:terrae, Terrae
AWWayofTime:aquasalus, Aquasalus
AWWayofTime:tennebrae, Tenebrae
AWWayofTime:demonBloodShard, Demon Blood Shard
AWWayofTime:archmageBloodOrb, Archmage's Blood Orb
AWWayofTime:transcendentBloodOrb, Transcendent Blood Orb
AWWayofTime:sigilOfWind, Sigil of the Whirlwind
AWWayofTime:telepositionFocus, Teleposition Focus
AWWayofTime:enhancedTelepositionFocus, Enhanced Teleposition Focus
AWWayofTime:reinforcedTelepositionFocus, Reinforced Teleposition Focus
AWWayofTime:demonicTelepositionFocus, Demonic Teleposition Focus
AWWayofTime:imbuedSlate, Imbued Slate
AWWayofTime:demonicSlate, Demonic Slate
AWWayofTime:duskScribeTool, Elemental Inscription Tool: Dusk
AWWayofTime:sigilOfTheBridge, Sigil of the Phantom Bridge
AWWayofTime:armourInhibitor, Armour Inhibitor
AWWayofTime:creativeFiller, Orb of Testing
AWWayofTime:demonPlacer:0, Demon Crystal
AWWayofTime:creativeDagger, Creative Sacrificial Knife
AWWayofTime:weakFillingAgent, Weak Filling Agent
AWWayofTime:standardFillingAgent, Standard Filling Agent
AWWayofTime:enhancedFillingAgent, Enhanced Filling Agent
AWWayofTime:weakBindingAgent, Weak Binding Agent
AWWayofTime:itemRitualDiviner:0, Ritual Diviner
AWWayofTime:itemRitualDiviner:1, Ritual Diviner
AWWayofTime:itemRitualDiviner:2, Ritual Diviner
AWWayofTime:sigilOfMagnetism, Sigil of Magnetism
AWWayofTime:itemKeyOfDiablo:0, Key of Binding
AWWayofTime:itemKeyOfDiablo:0, Key of Binding
AWWayofTime:energyBazooka, Energy Bazooka
AWWayofTime:itemBloodLightSigil, Sigil of the Blood Lamp
AWWayofTime:itemComplexSpellCrystal, Complex Spell Crystal
AWWayofTime:sigilOfSupression, Sigil of Supression
AWWayofTime:sigilOfEnderSeverance, Sigil of Ender Severance
AWWayofTime:fluidSigil, 
AWWayofTime:seerSigil, Sigil of Sight
AWWayofTime:customTool, Dynamic Mace
AWWayofTime:bucketLife, Bucket of Life
AWWayofTime:itemCombinationalCatalyst, Combinational Catalyst
AWWayofTime:itemAttunedCrystal:0, Alchemic Router
AWWayofTime:itemTankSegmenter:0, Alchemic Segmenter
AWWayofTime:itemDestinationClearer, Alchemic Cleanser
AWWayofTime:bloodMagicBaseItems:0, Quartz Rod
AWWayofTime:bloodMagicBaseItems:1, Empty Core
AWWayofTime:bloodMagicBaseItems:2, Magicales Cable
AWWayofTime:bloodMagicBaseItems:3, Wooden Brace
AWWayofTime:bloodMagicBaseItems:4, Stone Brace
AWWayofTime:bloodMagicBaseItems:5, Projectile Core
AWWayofTime:bloodMagicBaseItems:6, Self Core
AWWayofTime:bloodMagicBaseItems:7, Melee Core
AWWayofTime:bloodMagicBaseItems:8, Paradigm Plate
AWWayofTime:bloodMagicBaseItems:9, Output Spell Cable
AWWayofTime:bloodMagicBaseItems:10, Fire Core
AWWayofTime:bloodMagicBaseItems:11, Icy Core
AWWayofTime:bloodMagicBaseItems:12, Gusty Core
AWWayofTime:bloodMagicBaseItems:13, Earthen Core
AWWayofTime:bloodMagicBaseItems:14, Input Spell Cable
AWWayofTime:bloodMagicBaseItems:15, Cracked Runic Plate
AWWayofTime:bloodMagicBaseItems:16, Runic Plate
AWWayofTime:bloodMagicBaseItems:17, Imbued Runic Plate
AWWayofTime:bloodMagicBaseItems:18, Unattuned Core
AWWayofTime:bloodMagicBaseItems:19, Offensive Core
AWWayofTime:bloodMagicBaseItems:20, Defensive Core
AWWayofTime:bloodMagicBaseItems:21, Environmental Core
AWWayofTime:bloodMagicBaseItems:22, Power Core
AWWayofTime:bloodMagicBaseItems:23, Reduction Core
AWWayofTime:bloodMagicBaseItems:24, Potency Core
AWWayofTime:bloodMagicBaseItems:25, Obsidian Brace
AWWayofTime:bloodMagicBaseItems:26, Tool Core
AWWayofTime:bloodMagicBaseItems:27, Ethereal Slate
AWWayofTime:bloodMagicBaseItems:28, Life Shard
AWWayofTime:bloodMagicBaseItems:29, Soul Shard
AWWayofTime:bloodMagicBaseItems:30, Soul Runic Plate
AWWayofTime:bloodMagicBaseItems:31, Living Brace
AWWayofTime:bloodMagicBaseItems:32, Ender Shard
AWWayofTime:bloodMagicBaseAlchemyItems:0, Offensa
AWWayofTime:bloodMagicBaseAlchemyItems:1, Praesidium
AWWayofTime:bloodMagicBaseAlchemyItems:2, Orbis Terrae
AWWayofTime:bloodMagicBaseAlchemyItems:3, Strengthened Catalyst
AWWayofTime:bloodMagicBaseAlchemyItems:4, Concentrated Catalyst
AWWayofTime:bloodMagicBaseAlchemyItems:5, Fractured Bone
AWWayofTime:bloodMagicBaseAlchemyItems:6, Virtus
AWWayofTime:bloodMagicBaseAlchemyItems:7, Reductus
AWWayofTime:bloodMagicBaseAlchemyItems:8, Potentia
AWWayofTime:dawnScribeTool, Elemental Inscription Tool: Dawn
AWWayofTime:itemBloodPack, Blood Letter's Pack
AWWayofTime:itemHarvestSigil, Harvest Goddess Sigil
AWWayofTime:itemCompressionSigil, Sigil of Compression
AWWayofTime:itemAssassinSigil, Sigil of the Assassin
AWWayofTime:boundHelmetWater, Water Omega Helmet
AWWayofTime:boundPlateWater, Water Omega Plate
AWWayofTime:boundLeggingsWater, Water Omega Leggings
AWWayofTime:boundBootsWater, Water Omega Boots
AWWayofTime:boundHelmetEarth, Earth Omega Helmet
AWWayofTime:boundPlateEarth, Earth Omega Plate
AWWayofTime:boundLeggingsEarth, Earth Omega Leggings
AWWayofTime:boundBootsEarth, Earth Omega Boots
AWWayofTime:boundHelmetWind, Wind Omega Helmet
AWWayofTime:boundPlateWind, Wind Omega Plate
AWWayofTime:boundLeggingsWind, Wind Omega Leggings
AWWayofTime:boundBootsWind, Wind Omega Boots
AWWayofTime:boundHelmetFire, Fire Omega Helmet
AWWayofTime:boundPlateFire, Fire Omega Plate
AWWayofTime:boundLeggingsFire, Fire Omega Leggings
AWWayofTime:boundBootsFire, Fire Omega Boots
AWWayofTime:inputRoutingFocus, Input Routing Focus
AWWayofTime:outputRoutingFocus, item.outputRoutingFocus.name
AWWayofTime:bloodMagicIncenseItem:0, Wood Ash
AWWayofTime:bloodMagicIncenseItem:1, Byrrus
AWWayofTime:bloodMagicIncenseItem:2, Livens
AWWayofTime:bloodMagicIncenseItem:3, Viridis
AWWayofTime:bloodMagicIncenseItem:4, Purpura
AWWayofTime:ritualDismantler, Ritual Dismantler
Thaumcraft:WandCasting:0, Iron Capped Wooden Wand
Thaumcraft:WandCasting:9, Gold Banded Greatwood Wand
Thaumcraft:WandCasting:54, Thaumium Bossed Silverwood Wand
Thaumcraft:WandCasting:128, Thaumium Bossed Silverwood Scepter
Thaumcraft:WandCap:0, Iron Cap
Thaumcraft:WandCap:1, Gold Cap
Thaumcraft:WandCap:2, Charged Thaumium Cap
Thaumcraft:WandCap:6, Inert Thaumium Cap
Thaumcraft:WandCap:7, Charged Void metal Cap
Thaumcraft:WandCap:8, Inert Void metal Cap
Thaumcraft:WandRod:0, Greatwood Rod
Thaumcraft:WandRod:1, Obsidian Rod
Thaumcraft:WandRod:2, Silverwood Rod
Thaumcraft:WandRod:3, Icy Rod
Thaumcraft:WandRod:4, Quartz Rod
Thaumcraft:WandRod:5, Reed Rod
Thaumcraft:WandRod:6, Blazing Rod
Thaumcraft:WandRod:7, Bone Rod
Thaumcraft:WandRod:50, Greatwood Staff Core
